,Index,yyyymm,Index,D12
1/05/1937,16.26,187101,4.44,0.26
1/06/1937,15.4,187102,4.5,0.26
1/07/1937,16.98,187103,4.61,0.26
1/08/1937,16.04,187104,4.74,0.26
1/09/1937,13.76,187105,4.86,0.26
1/10/1937,12.36,187106,4.82,0.26
1/11/1937,11.11,187107,4.73,0.26
1/12/1937,10.55,187108,4.79,0.26
1/01/1938,10.69,187109,4.84,0.26
1/02/1938,11.34,187110,4.59,0.26
1/03/1938,8.5,187111,4.64,0.26
1/04/1938,9.7,187112,4.74,0.26
1/05/1938,9.27,187201,4.86,0.2633
1/06/1938,11.56,187202,4.88,0.2667
1/07/1938,12.4,187203,5.04,0.27
1/08/1938,12.06,187204,5.18,0.2733
1/09/1938,12.24,187205,5.18,0.2767
1/10/1938,13.17,187206,5.13,0.28
1/11/1938,12.73,187207,5.1,0.2833
1/12/1938,13.21,187208,5.04,0.2867
1/01/1939,12.3,187209,4.95,0.29
1/02/1939,12.7,187210,4.97,0.2933
1/03/1939,10.98,187211,4.95,0.2967
1/04/1939,10.92,187212,5.07,0.3
1/05/1939,11.6,187301,5.11,0.3025
1/06/1939,10.86,187302,5.15,0.305
1/07/1939,12.04,187303,5.11,0.3075
1/08/1939,11.18,187304,5.04,0.31
1/09/1939,13.02,187305,5.05,0.3125
1/10/1939,12.83,187306,4.98,0.315
1/11/1939,12.2,187307,4.97,0.3175
1/12/1939,12.49,187308,4.97,0.32
1/01/1940,12.05,187309,4.59,0.3225
1/02/1940,12.13,187310,4.19,0.325
1/03/1940,12.25,187311,4.04,0.3275
1/04/1940,12.19,187312,4.42,0.33
1/05/1940,9.27,187401,4.66,0.33
1/06/1940,9.98,187402,4.8,0.33
1/07/1940,10.29,187403,4.73,0.33
1/08/1940,10.56,187404,4.6,0.33
1/09/1940,10.66,187405,4.48,0.33
1/10/1940,11.08,187406,4.46,0.33
1/11/1940,10.61,187407,4.46,0.33
1/12/1940,10.58,187408,4.47,0.33
1/01/1941,10.07,187409,4.54,0.33
1/02/1941,9.92,187410,4.53,0.33
1/03/1941,9.96,187411,4.57,0.33
1/04/1941,9.31,187412,4.54,0.33
1/05/1941,9.35,187501,4.54,0.3275
1/06/1941,9.85,187502,4.53,0.325
1/07/1941,10.39,187503,4.59,0.3225
1/08/1941,10.3,187504,4.65,0.32
1/09/1941,10.2,187505,4.47,0.3175
1/10/1941,9.5,187506,4.38,0.315
1/11/1941,9.1,187507,4.39,0.3125
1/12/1941,8.69,187508,4.41,0.31
1/01/1942,8.81,187509,4.37,0.3075
1/02/1942,8.59,187510,4.3,0.305
1/03/1942,8.01,187511,4.37,0.3025
1/04/1942,7.66,187512,4.37,0.3
1/05/1942,8.15,187601,4.46,0.3
1/06/1942,8.3,187602,4.52,0.3
1/07/1942,8.56,187603,4.51,0.3
1/08/1942,8.62,187604,4.34,0.3
1/09/1942,8.85,187605,4.18,0.3
1/10/1942,9.42,187606,4.15,0.3
1/11/1942,9.29,187607,4.1,0.3
1/12/1942,9.77,187608,3.93,0.3
1/01/1943,10.47,187609,3.69,0.3
1/02/1943,11,187610,3.67,0.3
1/03/1943,11.58,187611,3.6,0.3
1/04/1943,11.59,187612,3.58,0.3
1/05/1943,12.11,187701,3.55,0.2908
1/06/1943,12.35,187702,3.34,0.2817
1/07/1943,11.68,187703,3.17,0.2725
1/08/1943,11.8,187704,2.94,0.2633
1/09/1943,12.08,187705,2.94,0.2542
1/10/1943,11.92,187706,2.73,0.245
1/11/1943,11.02,187707,2.85,0.2358
1/12/1943,11.67,187708,3.05,0.2267
1/01/1944,11.85,187709,3.24,0.2175
1/02/1944,11.82,187710,3.31,0.2083
1/03/1944,12.02,187711,3.26,0.1992
1/04/1944,11.87,187712,3.25,0.19
1/05/1944,12.35,187801,3.25,0.1892
