TradeDate,YYYYMM,FactorName,Quantile,TotalReturn
31/07/1992,199207,12mMomentum,1,0.014136644
31/07/1992,199207,12mMomentum,2,0.050468539
31/07/1992,199207,12mMomentum,3,-0.001074866
31/07/1992,199207,12mMomentum,4,0.076712397
31/07/1992,199207,3mMomentum,1,-0.014221256
31/07/1992,199207,3mMomentum,2,0.030550275
31/07/1992,199207,3mMomentum,3,0.023158075
31/07/1992,199207,3mMomentum,4,0.095496618
31/07/1992,199207,6mMomentum,1,-0.009901027
31/07/1992,199207,6mMomentum,2,0.037158498
31/07/1992,199207,6mMomentum,3,0.022877578
31/07/1992,199207,6mMomentum,4,0.088010729
31/07/1992,199207,EPSGrowthNTMA,1,-0.001747603
31/07/1992,199207,EPSGrowthNTMA,2,0.000799771
31/07/1992,199207,EPSGrowthNTMA,3,-0.004251469
31/07/1992,199207,EPSGrowthNTMA,4,-0.005769824
31/07/1992,199207,ForwardPE,1,0.016125187
31/07/1992,199207,ForwardPE,2,0.002953857
31/07/1992,199207,ForwardPE,3,-0.024329381
31/07/1992,199207,ForwardPE,4,0.012731015
31/07/1992,199207,PriceToBook,1,0.04799782
31/07/1992,199207,PriceToBook,2,0.011054902
31/07/1992,199207,PriceToBook,3,0.011807114
31/07/1992,199207,PriceToBook,4,-0.02236293
31/07/1992,199207,PriceToCashflow,1,0.046928274
31/07/1992,199207,PriceToCashflow,2,0.047520258
31/07/1992,199207,PriceToCashflow,3,-0.014124673
31/07/1992,199207,PriceToCashflow,4,-0.019322319
31/07/1992,199207,PriceToNTA,1,0.040964792
31/07/1992,199207,PriceToNTA,2,0.014566546
31/07/1992,199207,PriceToNTA,3,0.018012545
31/07/1992,199207,PriceToNTA,4,1.56E-02
31/07/1992,199207,PriceToRevenue,1,0.023008422
31/07/1992,199207,PriceToRevenue,2,0.016355317
31/07/1992,199207,PriceToRevenue,3,0.002681425
31/07/1992,199207,PriceToRevenue,4,0.002228744
31/07/1992,199207,ROE,1,0.052372151
31/07/1992,199207,ROE,2,0.041649097
31/07/1992,199207,ROE,3,-0.033668134
31/07/1992,199207,ROE,4,0.037432458
31/07/1992,199207,Size,1,0.088138811
31/07/1992,199207,Size,2,0.039625245
31/07/1992,199207,Size,3,0.005400952
31/07/1992,199207,Size,4,-0.003519229
31/08/1992,199208,12mMomentum,1,-0.023764362
31/08/1992,199208,12mMomentum,2,-0.029471342
31/08/1992,199208,12mMomentum,3,-0.05433684
31/08/1992,199208,12mMomentum,4,0.001365108
31/08/1992,199208,3mMomentum,1,-0.008275631
31/08/1992,199208,3mMomentum,2,-0.036604434
31/08/1992,199208,3mMomentum,3,-0.056470135
31/08/1992,199208,3mMomentum,4,-0.000848603
31/08/1992,199208,6mMomentum,1,-0.018368261
31/08/1992,199208,6mMomentum,2,-0.027840566
31/08/1992,199208,6mMomentum,3,-0.049787618
31/08/1992,199208,6mMomentum,4,-0.00672695
31/08/1992,199208,EPSGrowthNTMA,1,-0.041870284
31/08/1992,199208,EPSGrowthNTMA,2,-0.038073319
31/08/1992,199208,EPSGrowthNTMA,3,-0.047492421
31/08/1992,199208,EPSGrowthNTMA,4,-0.047583088
31/08/1992,199208,ForwardPE,1,-0.050573795
31/08/1992,199208,ForwardPE,2,-0.01543714
31/08/1992,199208,ForwardPE,3,-0.042171497
31/08/1992,199208,ForwardPE,4,-0.040765375
31/08/1992,199208,PriceToBook,1,-0.045273522
31/08/1992,199208,PriceToBook,2,-0.039395918
31/08/1992,199208,PriceToBook,3,-0.049421942
31/08/1992,199208,PriceToBook,4,-0.044746506
31/08/1992,199208,PriceToCashflow,1,-0.045736618
31/08/1992,199208,PriceToCashflow,2,-0.048997714
31/08/1992,199208,PriceToCashflow,3,-0.034895481
31/08/1992,199208,PriceToCashflow,4,-0.051637091
31/08/1992,199208,PriceToNTA,1,-0.052771314
31/08/1992,199208,PriceToNTA,2,-0.036691431
31/08/1992,199208,PriceToNTA,3,-0.039025553
31/08/1992,199208,PriceToNTA,4,-0.075393393
31/08/1992,199208,PriceToRevenue,1,-0.03365855
31/08/1992,199208,PriceToRevenue,2,-0.055614494
31/08/1992,199208,PriceToRevenue,3,-0.058550289
31/08/1992,199208,PriceToRevenue,4,-0.041283699
31/08/1992,199208,ROE,1,-0.044693003
31/08/1992,199208,ROE,2,-0.038064619
31/08/1992,199208,ROE,3,-0.041680213
31/08/1992,199208,ROE,4,-0.085276245
31/08/1992,199208,Size,1,-0.003254371
31/08/1992,199208,Size,2,-0.032166253
31/08/1992,199208,Size,3,-0.027756379
31/08/1992,199208,Size,4,-0.040584143
30/09/1992,199209,12mMomentum,1,-0.012538464
30/09/1992,199209,12mMomentum,2,0.00414211
30/09/1992,199209,12mMomentum,3,-0.009748323
30/09/1992,199209,12mMomentum,4,-0.02259987
30/09/1992,199209,3mMomentum,1,0.005429043
30/09/1992,199209,3mMomentum,2,-0.008471502
30/09/1992,199209,3mMomentum,3,-0.032171164
30/09/1992,199209,3mMomentum,4,-0.005472461
30/09/1992,199209,6mMomentum,1,0.00596268
30/09/1992,199209,6mMomentum,2,-0.020018877
30/09/1992,199209,6mMomentum,3,-0.028925633
30/09/1992,199209,6mMomentum,4,0.001932193
30/09/1992,199209,EPSGrowthNTMA,1,-0.028760048
30/09/1992,199209,EPSGrowthNTMA,2,-0.018882254
30/09/1992,199209,EPSGrowthNTMA,3,-0.015157418
30/09/1992,199209,EPSGrowthNTMA,4,-0.019616368
30/09/1992,199209,ForwardPE,1,-0.003670168
30/09/1992,199209,ForwardPE,2,-0.031392929
30/09/1992,199209,ForwardPE,3,-0.03467232
30/09/1992,199209,ForwardPE,4,-0.00715363
30/09/1992,199209,PriceToBook,1,0.027231318
30/09/1992,199209,PriceToBook,2,-0.01749419
30/09/1992,199209,PriceToBook,3,-0.014398701
30/09/1992,199209,PriceToBook,4,-0.047782071
30/09/1992,199209,PriceToCashflow,1,-0.000332687
30/09/1992,199209,PriceToCashflow,2,-0.023473595
30/09/1992,199209,PriceToCashflow,3,0.006771741
30/09/1992,199209,PriceToCashflow,4,-0.049720936
30/09/1992,199209,PriceToNTA,1,-0.01462188
30/09/1992,199209,PriceToNTA,2,0.012469186
30/09/1992,199209,PriceToNTA,3,-0.015128455
30/09/1992,199209,PriceToNTA,4,0.003481198
30/09/1992,199209,PriceToRevenue,1,-0.025630029
30/09/1992,199209,PriceToRevenue,2,-0.003794835
30/09/1992,199209,PriceToRevenue,3,0.007555052
30/09/1992,199209,PriceToRevenue,4,-0.010445738
30/09/1992,199209,ROE,1,0.001543263
