,log_return,log_return,log_return,log_return,log_return,log_return,log_return,log_return,log_return,log_return,log_return,log_return,log_return,log_return,log_return,log_return,log_return,CAPE,CAPE,CAPE,CAPE,CAPE,CAPE,CAPE,CAPE,CAPE,CAPE,CAPE,CAPE,CAPE,CAPE,CAPE,CAPE,CAPE,div_yield,div_yield,div_yield,div_yield,div_yield,div_yield,div_yield,div_yield,div_yield,div_yield,div_yield,div_yield,div_yield,div_yield,div_yield,div_yield,div_yield
,MSCI Asia Ex Japan,SP & ASX 200,ASX Small Ords,MSCI Brazil,MSCI China Hong Kong in Red ,MSCI Europe,MSCI ACWI,MSCI Global Small,MSCI India,MSCI Japan,MSCI Korea,MSCI Taiwan,MSCI UK,SP500,MSCI NZ,NAREIT ALL Equity Reits,SP Global Infrastructure,MSCI Asia Ex Japan,SP & ASX 200,ASX Small Ords,MSCI Brazil,MSCI China Hong Kong in Red ,MSCI Europe,MSCI ACWI,MSCI Global Small,MSCI India,MSCI Japan,MSCI Korea,MSCI Taiwan,MSCI UK,SP500,MSCI NZ,NAREIT ALL Equity Reits,SP Global Infrastructure,MSCI Asia Ex Japan,SP & ASX 200,ASX Small Ords,MSCI Brazil,MSCI China Hong Kong in Red ,MSCI Europe,MSCI ACWI,MSCI Global Small,MSCI India,MSCI Japan,MSCI Korea,MSCI Taiwan,MSCI UK,SP500,MSCI NZ,NAREIT ALL Equity Reits,SP Global Infrastructure
31/12/70,,0.010703466,,,,,0.046232191,,0.005095552,0.004511464,-0.038509555,,0.058104787,0.058030771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/1/71,,-0.024765492,,,,,0.042868896,,0.020126466,0.050019088,0.038249882,,0.000554354,0.042283781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/2/71,,-0.020608461,,,,,0.008397884,,-0.015056746,0.041817555,0.038903521,,-0.021058126,0.011613619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/3/71,,0.051942951,,,,,0.04105975,,-0.012722818,0.076428597,0.063511484,,0.080234257,0.038624258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/4/71,,-0.03876753,,,,,0.03028803,,0.0846612,0.047793333,0.058889058,,0.103049029,0.038142587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/5/71,,-0.030297295,,,,,-0.02594586,,0.114378554,-0.009878755,0.008966203,,0.034275308,-0.042446541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/6/71,,0.007259072,,,,,0.008150786,,0.004188488,0.088849045,0.054611806,,0.015093603,0.005919762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/7/71,,-0.042547967,,,,,-0.018020242,,0.062773642,0.002290346,0.044469798,,0.06317524,-0.039485558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/8/71,,-0.060642092,,,,,0.019642457,,0.011707451,-0.140329635,-0.059831404,,-0.014162981,0.038081302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/9/71,,-0.11042231,,,,,-0.011507607,,0.032445594,0.024206023,-0.052313635,,-0.009181068,-0.004452957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/10/71,,0.002484473,,,,,-0.040749659,,-0.024716087,-0.060075064,-0.02454421,,-0.032146407,-0.039936876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/11/71,,-0.017354015,,,,,0.006408994,,-0.0233701,0.060766593,0.009676126,,0.023923744,0.00021217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/71,,0.174124443,,,,,0.084287567,,0.059290786,0.079419593,0.061955364,,0.05008885,0.085112145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/1/72,,-0.033652874,,,,,0.034094211,,0.056848864,0.0577714,0.089069104,,0.035248086,0.020361549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/2/72,,0.095881772,,,,,0.035882975,,0.027683429,0.06701071,0.045156749,,0.053298306,0.027331262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/3/72,,0.031138047,,,,,0.011990449,,0.03108188,0.045948926,0.051196099,,-0.002348219,0.005894214,,-0.007400034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/4/72,,-0.02108904,,,,,0.011347043,,0.026929412,0.053160206,0.070205749,,0.031649156,0.009121373,,0.031808292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/5/72,,0.040985118,,,,,0.01846614,,0.018349139,0.080053926,0.048797972,,-0.024093967,0.019498453,,-0.102501753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/6/72,,0.025188364,,,,,-0.025258904,,-0.054418622,0.025058637,0.061359187,,-0.033911933,-0.019638223,,0.091748961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/7/72,,-0.059616941,,,,,0.013622709,,0.01655667,0.08031534,0.061822533,,0.054841458,0.004748765,,0.044310742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/8/72,,0.004694232,,,,,0.026296826,,0.043380296,0.022698983,0.059751247,,0.005219641,0.036211411,,-0.014680379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/9/72,,-0.033735589,,,,,-0.017042856,,-0.064957896,0.043001178,0.034290535,,-0.107334077,-0.002523618,,0.031462425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/10/72,,0.057898183,,,,,0.006476229,,-0.01862882,0.029731164,0.030109801,,0.033316346,0.011780053,,-0.031844141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
