,US,AU,UK,Germany,Europe,Japan,Switzerland,HK
1/03/1976,1,1,1,1,1,1,1,1
1/04/1976,0.98900,1.02000,0.93700,1.00400,0.97279,1.00200,0.98100,0.94365
1/05/1976,1.03200,1.02800,0.92600,1.01000,0.96616,0.98100,1.01200,0.97141
1/06/1976,1.02600,1.12600,0.89600,1.04800,0.94945,0.93500,1.01300,0.95414
1/07/1976,1.02500,1.12000,0.85600,1.01500,0.92626,0.93000,1.01300,0.97817
1/08/1976,1.05000,1.03600,0.80800,1.03200,0.90462,0.87400,0.99600,0.96776
1/09/1976,1.03000,0.98300,0.73000,1.03100,0.84154,0.82400,0.95600,0.91386
1/10/1976,1.02500,0.94100,0.78000,0.99800,0.87163,0.79400,0.96700,0.94715
1/11/1976,1.07900,0.97600,0.92500,0.99300,0.93172,0.89000,1.03700,1.06220
1/12/1976,1.02600,0.99700,1.00800,1.12900,0.95096,0.87400,1.05300,1.02534
1/01/1977,1.00500,0.95700,1.03400,1.07700,0.95799,0.83800,1.04200,1.00121
1/02/1977,0.99300,1.00700,1.06100,1.10800,0.96076,0.75000,1.04700,0.97103
1/03/1977,0.99500,0.99400,1.09900,1.07500,0.99223,0.73500,1.05200,1.02782
1/04/1977,0.97600,1.04000,1.12700,1.09200,0.98560,0.77200,1.01100,1.00804
1/05/1977,1.02300,1.02700,1.15900,1.08400,0.99469,0.82100,1.02300,1.01558
1/06/1977,1.01000,0.96400,1.13000,1.08100,0.97811,0.79500,1.02100,0.96454
1/07/1977,0.99100,0.93100,1.26200,1.06500,1.02815,0.86000,1.05600,0.98599
1/08/1977,0.99100,0.93100,1.36500,1.12400,1.06852,0.91300,1.09600,0.96208
1/09/1977,0.94900,0.98000,1.32200,1.12200,1.06058,0.94200,1.08600,0.96024
1/10/1977,0.97400,0.95300,1.26400,1.08300,1.03913,0.90500,1.08900,0.96081
1/11/1977,0.97900,1.02600,1.28400,1.06300,1.04111,0.87600,1.08200,0.92550
1/12/1977,0.92100,0.98000,1.21800,1.04700,1.02791,0.83000,1.12500,0.92644
1/01/1978,0.90000,0.92800,1.16300,1.09600,1.00801,0.85300,1.08400,0.94233
1/02/1978,0.92100,0.97500,1.24500,1.12400,1.05221,1.03700,1.07600,1.03292
1/03/1978,1.00800,1.04500,1.26000,1.18200,1.05568,1.09500,1.03000,1.04011
1/04/1978,1.01200,1.10000,1.31500,1.17800,1.08588,1.15700,1.04300,1.06501
1/05/1978,0.99500,1.07900,1.27300,1.17900,1.07615,1.11600,1.05800,1.29268
1/06/1978,1.05500,1.14500,1.35200,1.18600,1.12486,1.24800,1.05000,1.36020
1/07/1978,1.08200,1.21900,1.38600,1.21400,1.14273,1.21500,1.05200,1.61313
1/08/1978,1.07600,1.26600,1.38000,1.19500,1.16162,1.38800,1.01500,1.51381
1/09/1978,0.98400,1.17900,1.33100,1.21300,1.11977,1.32000,0.98900,1.58283
1/10/1978,1.00300,1.16700,1.36500,1.21800,1.12576,1.29600,1.02300,1.15238
1/11/1978,1.02100,1.22400,1.34800,1.23700,1.12583,1.32800,1.05700,1.13305
1/12/1978,1.06600,1.29000,1.36700,1.27300,1.15585,1.32400,1.16900,1.25543
1/01/1979,1.02800,1.34100,1.46400,1.31000,1.16810,1.24500,1.15000,1.22028
1/02/1979,1.08600,1.36900,1.65200,1.26600,1.23637,1.31400,1.17000,1.25546
1/03/1979,1.08500,1.34300,1.74000,1.26400,1.26833,1.40000,1.18600,1.26489
1/04/1979,1.06300,1.37900,1.61000,1.29300,1.20789,1.32400,1.13900,1.32506
1/05/1979,1.10200,1.34100,1.54100,1.30000,1.19854,1.47700,1.14100,1.26599
1/06/1979,1.11300,1.37100,1.47700,1.29400,1.18905,1.47400,1.14900,1.43165
1/07/1979,1.16700,1.54100,1.53400,1.28500,1.22770,1.58000,1.17600,1.38224
1/08/1979,1.16400,1.64400,1.60100,1.30600,1.26492,1.75700,1.19200,1.63706
1/09/1979,1.08800,1.66800,1.51700,1.34900,1.20528,1.60300,1.16000,1.63157
1/10/1979,1.13100,1.62800,1.50000,1.32300,1.20310,1.65600,1.15100,1.83008
1/11/1979,1.14800,1.80400,1.47200,1.32800,1.19340,1.62600,1.15400,2.12166
1/12/1979,1.21600,2.17700,1.60300,1.35400,1.25277,1.76500,1.18000,2.19654
1/01/1980,1.20200,2.25300,1.68800,1.37700,1.28228,1.78300,1.14700,2.22626
1/02/1980,1.09400,1.87000,1.53700,1.38300,1.18022,1.61400,1.05300,1.88486
1/03/1980,1.14000,1.94200,1.58800,1.34100,1.22185,1.67800,1.08900,2.10393
1/04/1980,1.19300,2.16300,1.55800,1.38300,1.23302,1.76800,1.09300,2.16919
1/05/1980,1.23000,2.29200,1.73000,1.37500,1.29992,1.75900,1.12800,2.57092
1/06/1980,1.31000,2.30400,1.79200,1.38700,1.33415,1.70300,1.15700,2.86352
1/07/1980,1.31800,2.40800,1.80000,1.37300,1.33829,1.75300,1.16100,3.05240
1/08/1980,1.34900,2.53800,1.85100,1.40700,1.36594,1.76400,1.15700,3.03236
1/09/1980,1.38100,2.70300,1.97300,1.44100,1.43899,1.90100,1.17100,3.81458
1/10/1980,1.52400,2.64400,1.99700,1.48100,1.45026,1.89100,1.16500,3.68052
1/11/1980,1.46900,2.58700,1.88400,1.46400,1.39979,1.77500,1.17500,3.79373
1/12/1980,1.41300,2.33800,1.87600,1.47000,1.40096,1.69100,1.13600,4.08863
1/01/1981,1.44100,2.26600,1.95700,1.51300,1.45135,1.75900,1.16400,3.80715
1/02/1981,1.48700,2.48000,1.95200,1.51200,1.46009,1.81200,1.15800,3.48599
1/03/1981,1.45800,2.48800,2.11300,1.61800,1.52303,1.71800,1.13500,3.66755
1/04/1981,1.45200,2.49300,1.99600,1.76400,1.45163,1.38500,1.09100,4.36348
1/05/1981,1.44700,2.43000,2.03500,1.78700,1.47341,1.32200,1.12000,4.51992
1/06/1981,1.45500,2.18200,2.04900,1.86800,1.48621,1.45500,1.12100,4.41648
1/07/1981,1.37000,2.17500,2.15800,1.90100,1.53042,1.53300,1.09000,4.25701
1/08/1981,1.30400,1.98300,1.80500,1.89400,1.36425,1.51800,1.01100,3.19727
1/09/1981,1.36700,1.87200,1.87100,1.73200,1.38625,1.49200,1.01600,3.20606
1/10/1981,1.42500,2.02700,2.09500,1.73200,1.49377,1.57200,1.06500,3.63655
1/11/1981,1.38500,2.03800,2.07000,1.73800,1.47938,1.56300,1.06800,3.51208
1/12/1981,1.36700,1.87200,2.18800,1.80800,1.52943,1.68300,1.04800,3.54314
1/01/1982,1.29500,1.70100,2.09700,1.84400,1.51967,1.82000,1.04500,3.16205
1/02/1982,1.28600,1.60400,2.17700,1.75800,1.55050,1.74200,1.05900,2.91829
1/03/1982,1.34000,1.78600,2.20600,1.65900,1.56604,1.85100,1.06700,3.41060
1/04/1982,1.29400,1.78100,2.28900,1.71000,1.57644,1.84000,1.05500,3.69026
1/05/1982,1.27500,1.67100,2.20400,1.70400,1.51139,1.68400,1.01100,3.32343
1/06/1982,1.25100,1.65700,2.28100,1.66800,1.54307,1.64800,1.01100,3.11532
1/07/1982,1.40300,1.73900,2.35100,1.61900,1.57798,1.73700,1.03800,2.77358
1/08/1982,1.41900,1.80700,2.49000,1.64800,1.63548,1.70100,1.04800,2.49354
1/09/1982,1.57500,1.83000,2.56300,1.63300,1.68537,1.73500,1.11700,2.14422
1/10/1982,1.63500,1.76600,2.58300,1.69200,1.71501,1.75000,1.16000,1.97681
1/11/1982,1.66200,1.79000,2.61700,1.82100,1.76519,1.72900,1.21200,2.23000
1/12/1982,1.72700,1.99600,2.73000,1.88700,1.83733,1.84600,1.23800,2.52316
1/01/1983,1.76100,1.87000,2.75500,1.84100,1.91333,1.90400,1.28400,2.90688
1/02/1983,1.82100,1.93600,2.85500,1.85500,2.04399,2.07500,1.29200,2.82595
1/03/1983,1.96200,2.23900,3.09700,1.93500,2.17296,2.18700,1.34500,2.89485
1/04/1983,1.93000,2.35100,3.09700,1.96400,2.15231,2.27600,1.30800,2.61256
1/05/1983,2.00300,2.30100,3.26500,1.97900,2.24353,2.25500,1.33800,2.77203
1/06/1983,1.93600,2.57300,3.16900,2.04100,2.26168,2.33200,1.38400,3.08123
1/07/1983,1.97400,2.67400,3.19900,2.07700,2.26391,2.45700,1.35200,2.78337
1/08/1983,1.99700,2.73100,3.18800,2.09400,2.27074,2.53700,1.35700,2.20891
1/09/1983,1.97300,2.64000,3.13600,2.15400,2.27299,2.53500,1.41000,2.54027
1/10/1983,2.01400,2.88300,3.32700,2.12600,2.38423,2.70100,1.47500,2.51694
1/11/1983,2.00100,3.00400,3.37500,2.13200,2.43201,2.81800,1.56400,2.60119
1/12/1983,1.97700,2.93200,3.61700,2.28900,2.61005,3.06800,1.55300,3.32064
1/01/1984,1.89300,2.77900,3.54300,2.42500,2.52249,2.91300,1.52100,3.19243
1/02/1984,1.92600,2.88200,3.79900,2.40200,2.61496,2.96000,1.52800,3.08471
1/03/1984,1.94400,2.90800,3.90300,2.72000,2.67995,3.26300,1.58200,3.15689
1/04/1984,1.83300,2.49300,3.52300,2.69300,2.50067,3.16400,1.51400,2.84057
1/05/1984,1.87000,2.55600,3.62100,2.40900,2.54519,3.13300,1.50600,2.79868
1/06/1984,1.85400,2.65400,3.53000,2.47200,2.47101,2.90700,1.49300,2.50722
1/07/1984,2.05300,2.87200,3.88700,2.36700,2.67463,3.21600,1.56600,2.94483
1/08/1984,2.05400,2.88800,4.01900,2.54100,2.76656,3.34900,1.58600,3.17669
1/09/1984,2.06300,2.93600,4.09300,2.57100,2.79614,3.39500,1.60200,3.22746
1/10/1984,2.04100,2.92600,4.23000,2.69600,2.83210,3.38700,1.60800,3.59231
1/11/1984,2.09000,2.82400,4.44000,2.72800,2.92161,3.39300,1.64000,3.84320
1/12/1984,2.25600,3.03700,4.65800,2.87300,3.10910,3.60200,1.74700,4.40208
1/01/1985,2.28000,3.10800,4.59700,2.90100,3.12639,3.69700,1.74800,4.43441
1/02/1985,2.28400,3.27100,4.68900,3.04300,3.16616,3.83800,1.74800,4.43809
1/03/1985,2.27700,3.50400,4.75800,3.11800,3.24642,3.94700,1.81100,4.88376
1/04/1985,2.41600,3.50900,4.88400,3.01200,3.37679,4.26300,1.87900,5.15193
1/05/1985,2.44900,3.47200,4.59500,3.11800,3.34180,4.06800,1.99200,5.09379
1/06/1985,2.43900,3.77400,4.74300,3.21100,3.37141,3.83000,2.02900,5.45273
1/07/1985,2.41500,3.77100,5.09400,3.06800,3.57214,3.99500,2.13700,5.38940
1/08/1985,2.33600,4.01700,4.88800,3.14900,3.53993,3.76900,2.04100,4.95929
1/09/1985,2.44000,4.17400,5.27500,3.17600,3.83364,3.99600,2.27600,5.47473
1/10/1985,2.60800,4.01400,5.52600,3.19200,4.00618,4.49100,2.45600,5.66372
1/11/1985,2.74000,4.08800,5.46000,3.09900,4.18514,4.84100,2.69200,5.81853
