Date,AU,US,Japan,UK,France,Germany,Switzerland,India,AU,US,Japan,UK,France,Germany,Switzerland,India,,,,,,,,
30/11/1984,,,,,,,,,,,,,,,,,,,,,,,,
31/12/1984,,,,,,,,,,,,,,,,,,,,,,,,
31/01/1985,0.0291,0.0317,0.0098,,,,,,5375.03,246112.91,96577.91,,,,,,,,,,,,,
28/02/1985,0.0329,0.0316,0.0094,,,,,,5375.03,246096.16,97316.98,,,,,,,,,,,,,
29/03/1985,0.0332,0.0317,0.0092,,,,,,5407.68,245948.33,109069.96,,,,,,,,,,,,,
30/04/1985,0.0343,0.0319,0.0095,,,,,,5407.68,245937.45,109433.17,,,,,,,,,,,,,
31/05/1985,0.0359,0.0304,0.0093,,,,,,5621.76,246130.99,109700.48,,,,,,,,,,,,,
28/06/1985,0.0359,0.03,0.0089,,,,,,5868.31,246068.93,110539.55,,,,,,,,,,,,,
31/07/1985,0.0305,0.03,0.0087,,,,,,5867.38,246204.82,110507.07,,,,,,,,,,,,,
30/08/1985,0.0322,0.0303,0.0086,,,,,,5867.38,246429.05,110814.62,,,,,,,,,,,,,
30/09/1985,0.0291,0.0319,0.0078,,,,,,5885.83,247558.62,112026.22,,,,,,,,,,,,,
31/10/1985,0.0289,0.0309,0.0075,,,,,,5882.96,247067.75,112476.9,,,,,,,,,,,,,
29/11/1985,0.0317,0.0297,0.0074,,,,,,5913.95,258728.35,113228.18,,,,,,,,,,,,,
31/12/1985,0.0284,0.0303,0.007,,,,,,6487.9,265662.31,113759.99,,,,,,,,,,,,,
31/01/1986,0.026,0.0304,0.0069,0.0162,,,,,6278.83,255289.35,113722.73,31582.66,,,,,,,,,,,,
28/02/1986,0.0266,0.0287,0.0061,0.015,,,,,6487.9,266827.97,114885.46,31877.85,,,,,,,,,,,,
31/03/1986,0.0247,0.0275,0.0058,0.0152,,,,,6478.56,266996.14,122533.27,33902.87,,,,,,,,,,,,
30/04/1986,0.0214,0.0277,0.0055,0.0145,,,,,6478.56,267084.59,122958.12,33997.31,,,,,,,,,,,,
30/05/1986,0.024,0.0269,0.0056,0.0163,,,,,6680.44,268920.03,123342.73,34000.63,,,,,,,,,,,,
30/06/1986,0.028,0.0265,0.005,0.0156,,,,,6937.21,269143.82,123789.67,34115.76,,,,,,,,,,,,
31/07/1986,0.0339,0.0281,0.0046,0.017,,,,,7091.47,268805.12,123805,34475.45,,,,,,,,,,,,
29/08/1986,0.0324,0.0265,0.0043,0.0164,,,,,7091.47,268755.17,124058.76,35753.87,,,,,,,,,,,,
30/09/1986,0.0313,0.0289,0.0044,0.0186,,,,,7006.7,269385.72,129644.22,36756.47,,,,,,,,,,,,
31/10/1986,0.0279,0.0276,0.005,0.0185,,,,,7022.63,269330.73,129993.49,36881.64,,,,,,,,,,,,
28/11/1986,0.0283,0.0272,0.0048,0.018,,,,,7022.63,269631.7,130786.1,36924.14,,,,,,,,,,,,
31/12/1986,0.0264,0.0277,0.0045,0.0198,,,,,6790.48,263438.21,132224.92,41705.66,,,,,,,,,,,,
30/01/1987,0.0268,0.0255,0.0039,0.0183,,,,,6996.98,273585.81,133348.04,41815.13,,,,,,,,,,,,
27/02/1987,0.0237,0.0237,0.0035,0.0167,,,,,6790.48,265531.14,144763.43,42210.77,,,,,,,,,,,,
31/03/1987,0.0223,0.0241,0.0042,0.0167,,,,,6988.45,274268.18,179491.45,45447.66,,,,,,,,,,,,
30/04/1987,0.0224,0.0246,0.0037,0.0156,,,,,6988.45,274046.65,180267.1,45606.98,,,,,,,,,,,,
29/05/1987,0.0214,0.0245,0.0037,0.0172,,,,,7115.18,276194.38,180743.64,45605.68,,,,,,,,,,,,
30/06/1987,0.0217,0.0235,0.004,0.0167,,,,,7468.17,277371.61,181536.21,45992.95,,,,,,,,,,,,
31/07/1987,0.0196,0.0226,0.0041,0.0166,0.0107,,,,7521.86,277264.78,181579.18,46130.1,25919.23,,,,,,,,,,,
31/08/1987,0.0179,0.0217,0.0037,0.017,0.01,,,,7577.11,277374.24,182228.59,47297.22,28408.49,,,,,,,,,,,
30/09/1987,0.0162,0.0224,0.0038,0.0163,0.0105,,,,8094.09,280098.49,187104.33,50157.15,28449.64,,,,,,,,,,,
30/10/1987,0.0266,0.0284,0.0041,0.0195,0.013,,,,8048.11,279740.63,187810.41,51607.44,28425,,,,,,,,,,,
30/11/1987,0.0248,0.0309,0.004,0.0205,0.0136,,,,8147.79,280082.74,188670.17,51533.36,28638.24,,,,,,,,,,,
31/12/1987,0.0255,0.0324,0.004,0.0216,0.0159,0.0274,,,8473.64,310860.05,190399.14,51555.64,34938.62,44017.49,,,,,,,,,,
29/01/1988,0.027,0.0293,0.0038,0.0221,0.0177,0.0293,,,8461.31,318714.61,190328.36,51963.45,34867.87,43991.21,,,,,,,,,,
