,Index,Price,12M Return, D12 , E12 , DE ,b/m,tbl,AAA,BAA,DFY,DFR,lty,ntis,tms,Rfree,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx
1/05/1937,16.26,16.26,-0.56,-3,-2.65,0.35,0.4894,0.0041,0.0333,0.0484,0.0151,-0.0013,0.0282,0.0283,0.0276,0.0006,0.007,0.0053,0.004,0.0036,0.0034,-0.0057,-0.0117
1/06/1937,15.4,15.32,-0.29,-2.9,-2.57,0.33,0.505,0.0036,0.0328,0.0493,0.0165,0.0071,0.0285,0.0313,0.0282,0.0003,0,-0.0018,0.0053,0.003,0.0042,-0.0538,-0.0579
1/07/1937,16.98,16.82,-0.31,-3.03,-2.65,0.37,0.4646,0.0028,0.0325,0.0491,0.0166,-0.0099,0.0277,0.0272,0.0274,0.0003,0.0069,0.0138,0.0039,0.003,0.0036,0.099,0.098
1/08/1937,16.04,15.87,-0.29,-3,-2.58,0.42,0.4819,0.0029,0.0324,0.0492,0.0168,0.0087,0.0286,0.0311,0.0284,0.0002,0,-0.0104,-0.0017,0.0021,0.0033,-0.0512,-0.0563
1/09/1937,13.76,13.59,-0.12,-2.87,-2.41,0.46,0.5531,0.0031,0.0328,0.0516,0.0188,-0.002,0.0284,0.0358,0.028,0.0004,0.0069,0.0045,0.0025,0.0158,0.0033,-0.1396,-0.1437
1/10/1937,12.36,12.18,0.06,-2.75,-2.33,0.42,0.6174,0.002,0.0327,0.0552,0.0225,0.0025,0.0283,0.041,0.0281,0.0002,0,0.0042,0.0067,0.0317,0.0036,-0.1027,-0.1037
1/11/1937,11.11,10.96,0.14,-2.63,-2.25,0.38,0.6924,0.0009,0.0324,0.0582,0.0258,-0.0029,0.0278,0.042,0.0276,0.0002,-0.0068,0.0096,0.0067,0.022,0.0027,-0.0843,-0.1003
1/12/1937,10.55,10.38,0.22,-2.56,-2.22,0.35,0.7075,0.0011,0.0321,0.0573,0.0252,-0.0015,0.0273,0.0318,0.0273,0,-0.0069,0.0082,0.0067,0.007,0.0028,-0.0458,-0.053
1/01/1938,10.69,10.5,0.14,-2.58,-2.28,0.31,0.7016,0.001,0.0317,0.0589,0.0272,-0.0019,0.0271,0.0388,0.0271,0,-0.0139,0.0057,0.0038,0.0098,0.0028,0.0122,0.0111
1/02/1938,11.34,11.14,0.11,-2.65,-2.39,0.26,0.6595,0.0008,0.032,0.0597,0.0277,-0.0042,0.0268,0.0322,0.0268,0,-0.007,0.0052,0.001,0.0078,0.0021,0.0658,0.0611
1/03/1938,8.5,8.26,0.26,-2.36,-2.14,0.22,0.8924,0.0008,0.0322,0.063,0.0308,-0.005,0.0273,0.0338,0.0274,-0.0001,0,-0.0037,-0.0087,0.0151,0.003,-0.2541,-0.258
1/04/1938,9.7,9.43,0.12,-2.51,-2.35,0.16,0.7908,0.0009,0.033,0.0647,0.0317,-0.0072,0.0259,0.0272,0.0258,0.0001,0.0071,0.021,0.0138,0.0189,0.0042,0.1427,0.141
1/05/1938,9.27,9,0.22,-2.48,-2.38,0.1,0.8196,0.0005,0.0322,0.0606,0.0284,-0.0034,0.0257,0.03,0.0257,0,-0.007,0.0044,0.001,0.0077,0.0053,-0.04,-0.046
