,US,AU,UK,Germany,France,Japan,Switzerland,India
1/01/1960,3.41816,4.01645,2.99530,9.31479,4.63276,4.62535,1.01276,0.54726
1/02/1960,3.25592,4.01645,2.92735,9.36569,4.83304,4.89330,1.00496,0.54588
1/03/1960,3.20557,3.90539,2.95348,9.20281,4.72469,5.10185,1.00283,0.56898
1/04/1960,3.23354,3.96912,2.79143,9.49803,5.01362,5.34762,1.04961,0.57415
1/05/1960,3.20557,4.06561,2.89076,10.09866,5.11212,5.22513,1.16726,0.59795
1/06/1960,3.35662,4.13116,2.81234,11.52387,5.31897,5.16309,1.27073,0.60450
1/07/1960,3.26151,4.15665,2.81757,12.36882,5.48970,5.46932,1.25372,0.61415
1/08/1960,3.25592,4.20217,2.96917,13.39701,5.75237,5.63801,1.39830,0.62002
1/09/1960,3.11606,4.20399,2.93780,13.40719,5.42732,5.94291,1.39901,0.59864
1/10/1960,3.03774,3.97640,2.97962,12.62332,5.24017,6.17575,1.38625,0.57277
1/11/1960,3.13284,3.56310,2.83325,12.37900,5.48313,6.42337,1.41318,0.58484
1/12/1960,3.17760,3.39560,2.86462,12.09396,5.33539,6.48964,1.42523,0.57588
1/01/1961,3.29508,3.47571,2.97962,11.97179,5.75688,7.13007,1.57760,0.56864
1/02/1961,3.39018,3.52851,3.12599,11.85981,6.08234,7.72325,1.61446,0.58415
1/03/1961,3.49648,3.53943,3.26190,11.73765,6.32243,7.56803,1.69100,0.61864
1/04/1961,3.56920,3.64321,3.33508,11.97179,6.37579,8.11369,1.80369,0.62208
1/05/1961,3.61396,3.72150,3.29327,12.49098,6.40780,8.31248,1.90007,0.61933
1/06/1961,3.60277,3.81800,3.02667,12.56224,6.19972,8.23328,1.95110,0.63277
1/07/1961,3.59718,3.77248,2.94303,11.52387,5.87426,8.86527,1.78951,0.63036
1/08/1961,3.74263,3.71604,2.82803,10.98433,5.90627,8.44315,1.72218,0.61691
1/09/1961,3.70347,3.68509,2.78621,10.47532,5.71953,7.65884,1.77888,0.61139
1/10/1961,3.66431,3.65778,2.71825,10.66874,5.74621,6.79850,1.88094,0.62381
1/11/1961,3.77620,3.67052,2.74962,11.37117,6.12502,6.84417,2.02835,0.64450
1/12/1961,3.79857,3.61954,2.79666,10.99451,6.30643,6.54930,2.10773,0.63553
1/01/1962,3.67550,3.74699,2.80189,10.79090,6.09831,7.30325,2.13182,0.64622
1/02/1962,3.70906,3.93816,2.82803,10.62802,6.74788,7.64115,2.20624,0.65622
1/03/1962,3.72025,3.85077,2.75484,10.53640,7.08842,7.36687,2.24805,0.66278
1/04/1962,3.59718,3.74517,2.95348,10.18010,7.09473,6.89169,2.14670,0.66415
1/05/1962,3.35662,3.76702,2.89076,9.39623,6.46409,6.96719,1.80085,0.67347
1/06/1962,2.98180,3.61772,2.63461,8.54110,6.11723,7.07754,1.66761,0.65484
1/07/1962,3.03214,3.61044,2.62416,8.27642,6.31904,7.23831,1.76258,0.63450
1/08/1962,3.13844,3.57949,2.72348,7.95066,6.26228,7.00732,1.77605,0.64484
1/09/1962,3.11047,3.52305,2.71825,7.82850,6.30643,6.67892,1.64068,0.63450
1/10/1962,3.02655,3.54672,2.73393,7.17697,5.98480,6.28478,1.53437,0.61691
1/11/1962,3.27830,3.59587,2.84371,7.98120,6.33796,6.96033,1.76116,0.58795
1/12/1962,3.37900,3.61772,2.88553,8.34768,6.13615,7.11238,1.71084,0.59105
1/01/1963,3.50207,3.71786,2.89598,8.04228,6.01002,7.13166,1.66052,0.59002
1/02/1963,3.54123,3.74699,2.94826,7.81832,5.81452,7.38825,1.62084,0.57450
1/03/1963,3.51326,3.76156,3.01099,7.80813,5.83344,7.64987,1.65273,0.56691
1/04/1963,3.68669,3.81800,3.05280,8.00156,5.61272,7.94078,1.74486,0.55967
