,US,AU,UK,Germany,France,Japan,Switzerland,India
1/01/2000,0.024502325349224953,0.06272709048785016,-0.047091864949036485,-0.10953324774444707,0.01615723140986659,-0.2548936740784718,0.09800748733087716,-0.26183101166011613
1/02/2000,0.06855438578950657,0.060031834078616196,-0.009776427000955011,-0.2168824571428707,-0.07860231879585361,-0.30835191210077006,0.1060460368584498,-0.2708041973937397
1/03/2000,-0.030735939038086784,0.013425032163667177,-0.13534431096652227,-0.3468882995697673,-0.19600452362598325,-0.2939844408190223,0.00027207430094674015,-0.318548350026617
1/04/2000,-0.06327523078597452,0.04811373196610464,-0.08914783593723878,-0.2725730970611658,-0.14185552493536766,-0.23478833199772786,-0.04383729163299605,-0.3444245091635877
1/05/2000,0.007752207227079499,0.10262384065411662,-0.05592191391222861,-0.22000513682648928,-0.11830878764823642,-0.15344356636256232,-0.025200872427177088,-0.16814528538169424
1/06/2000,-0.02928849561645279,0.07812332683381233,-0.11513401197769373,-0.24185057183724612,-0.1955136193916737,-0.1943571014057897,-0.060810345272686916,-0.30713111302116564
1/07/2000,-0.06186691008215134,0.02127929210254666,-0.163600680414942,-0.2672139363735628,-0.24882325655245446,-0.23800522304578417,-0.14561433118595507,-0.32826088078247895
1/08/2000,-0.09706817812707196,0.0107040006182788,-0.17448301814548692,-0.3200530043934254,-0.27729306209791543,-0.24006093555062166,-0.21718011163003395,-0.26896943041204274
1/09/2000,-0.19134491491590613,-0.059536732295080955,-0.2794188915674501,-0.48880483699758026,-0.452341537028665,-0.36141105994380474,-0.33280597093420905,-0.4150325681933805
1/10/2000,-0.15078382579057992,-0.020780715810796848,-0.2181624246774545,-0.39464288127240416,-0.36192169758318454,-0.2988315721589164,-0.29404508582803074,-0.26790967700065554
1/11/2000,-0.1151366827085297,0.0008326011545529134,-0.19339319607550984,-0.3159700833637229,-0.30162959607488615,-0.28083656715147004,-0.2734492287402226,-0.21424081691769442
1/12/2000,-0.10134872947860468,0.02982098386665847,-0.18427685814358985,-0.2352373296199671,-0.24749511350765085,-0.27216834745515867,-0.26063765592713234,-0.2065948156049037
1/01/2001,-0.11162398623409484,0.04356735080623692,-0.17658357484093323,-0.21823768946617084,-0.23354796606721812,-0.24745653083562863,-0.2550414958945528,-0.21559606879497048
1/02/2001,-0.12896407045785643,0.03794289451962442,-0.17682054996016003,-0.24489977625680734,-0.2426615221643473,-0.26116499300404306,-0.24944028979496735,-0.20007523094382182
1/03/2001,-0.0045112094285382175,0.05589677246708264,-0.08395393694886445,-0.10182764983028864,-0.10452621629604575,-0.13302535018527797,-0.1201407526094882,-0.0660576629282587
1/04/2001,-0.032209274044952135,0.035217708723622995,-0.10184003270967111,-0.11792653478306472,-0.13182719507418109,-0.1930168207777921,-0.09116666687696418,-0.012028457273289713
1/05/2001,-0.11278467977503348,-0.006222333340489635,-0.12840588531368982,-0.19301099055601817,-0.2047378726418067,-0.2231471479368012,-0.1479617825445525,-0.08836274154344298
1/06/2001,-0.14748199200461648,-0.037293632246673515,-0.18788461548807028,-0.26756852388965835,-0.25379736948493087,-0.19934994532766373,-0.20112528860912027,-0.05436818198431226
1/07/2001,-0.23104400472526648,-0.06973735022655746,-0.2537773066689615,-0.3268502103411175,-0.3175390706323645,-0.19859976837605148,-0.2572012306330145,-0.04023861770538914
1/08/2001,-0.20626761813528036,-0.07569833265015175,-0.24508786325719234,-0.3478467701147712,-0.3294747342647392,-0.20556887881893235,-0.24915887809392728,-0.0799956772029548
1/09/2001,-0.1548568491265141,-0.004516071655801414,-0.21120450449264674,-0.2830188893268224,-0.2459343121916722,-0.12085388192947699,-0.18502870318284567,0.05579085821068405
1/10/2001,-0.1898558834338258,-0.06729936554875948,-0.242878425044987,-0.4017992481537799,-0.3162525135171288,-0.2086411018357878,-0.22702131839462603,0.00718156141581965
1/11/2001,-0.17431969867295205,-0.09262102773271774,-0.24526998931655242,-0.39371827901805906,-0.30530716693170784,-0.2044934807490305,-0.23374245666350246,-0.03728903393880828
1/12/2001,-0.19456546248585974,-0.10774088820397308,-0.27168040028376067,-0.453604924480623,-0.33417823406863345,-0.18541406267057256,-0.2649907091417411,0.0014177001966849997
